dataset,repeat,fold,split,seed,train_size,test_size,test_acc,test_bacc,test_macro_f1,n_rules,enh_depth,enh_total_nodes,enh_time,fold_total_time
warpAR10P (1),2,2,7,2032,104,26,0.923076923,0.916666667,0.918095238,50,1,5,0.038684346,0.068550169
warpAR10P (1),2,3,8,2033,104,26,0.961538462,0.966666667,0.96,50,0,0,0.010723279,0.0364097
warpAR10P (1),2,4,9,2034,104,26,0.923076923,0.916666667,0.918095238,55,2,2,0.025537216,0.053009038
warpAR10P (1),2,5,10,2035,104,26,1,1,1,55,1,1,0.025172924,0.052363263
warpAR10P (1),3,1,11,2036,104,26,0.961538462,0.966666667,0.965714286,60,0,0,0.011745544,0.038660206
warpAR10P (1),3,2,12,2037,104,26,0.961538462,0.966666667,0.965714286,50,0,0,0.010996108,0.03648565
warpAR10P (1),3,3,13,2038,104,26,0.961538462,0.966666667,0.96,60,0,0,0.01168955,0.038230862
warpAR10P (1),3,4,14,2039,104,26,0.846153846,0.85,0.847380952,55,0,0,0.01143147,0.037633541
warpAR10P (1),3,5,15,2040,104,26,1,1,1,50,0,0,0.01091209,0.036582308
warpAR10P (1),4,1,16,2041,104,26,0.923076923,0.916666667,0.918095238,60,0,0,0.011607298,0.037615116
warpAR10P (1),4,2,17,2042,104,26,0.961538462,0.966666667,0.965714286,50,3,3,0.024737499,0.053002297
warpAR10P (1),4,3,18,2043,104,26,1,1,1,55,0,0,0.011388084,0.037245175
warpAR10P (1),4,4,19,2044,104,26,0.884615385,0.9,0.882380952,60,0,0,0.011530208,0.038018258
warpAR10P (1),4,5,20,2045,104,26,0.923076923,0.933333333,0.926666667,60,0,0,0.011652369,0.03767428
warpAR10P (1),5,1,21,2046,104,26,0.884615385,0.9,0.890714286,50,0,0,0.01105987,0.04067905
warpAR10P (1),5,2,22,2047,104,26,0.923076923,0.933333333,0.925714286,55,0,0,0.011385119,0.037687149
warpAR10P (1),5,3,23,2048,104,26,0.846153846,0.85,0.853333333,50,0,0,0.011022566,0.036218964
warpAR10P (1),5,4,24,2049,104,26,0.923076923,0.933333333,0.916666667,60,1,1,0.026169655,0.053606224
warpAR10P (1),5,5,25,2050,104,26,1,1,1,60,0,0,0.01172998,0.046157692
PIE,1,1,1,2026,168,42,1,1,1,50,0,0,0.012557315,0.045246073
PIE,1,2,2,2027,168,42,1,1,1,50,0,0,0.012556259,0.044827151
PIE,1,3,3,2028,168,42,1,1,1,50,0,0,0.012390582,0.044380201
PIE,1,4,4,2029,168,42,1,1,1,50,0,0,0.012396626,0.044439897
PIE,1,5,5,2030,168,42,1,1,1,45,0,0,0.01185773,0.043726171
PIE,2,1,6,2031,168,42,0.976190476,0.975,0.976623377,50,0,0,0.012457574,0.044968963
PIE,2,2,7,2032,168,42,1,1,1,45,0,0,0.011938822,0.043707445
PIE,2,3,8,2033,168,42,0.976190476,0.975,0.974603175,50,0,0,0.012407356,0.044476031
PIE,2,4,9,2034,168,42,0.976190476,0.975,0.974603175,35,1,1,0.023085469,0.054510014
PIE,2,5,10,2035,168,42,0.904761905,0.9,0.893333333,50,0,0,0.012521937,0.044209179
PIE,3,1,11,2036,168,42,1,1,1,50,0,0,0.012419633,0.044551169
PIE,3,2,12,2037,168,42,1,1,1,40,0,0,0.011239474,0.042444843
PIE,3,3,13,2038,168,42,0.976190476,0.975,0.974603175,50,0,0,0.012492932,0.04415386
PIE,3,4,14,2039,168,42,1,1,1,55,0,0,0.013236128,0.045611693
PIE,3,5,15,2040,168,42,0.904761905,0.9,0.895634921,45,0,0,0.011983938,0.043742437
PIE,4,1,16,2041,168,42,0.952380952,0.95,0.946666667,55,0,0,0.013170159,0.045797151
PIE,4,2,17,2042,168,42,0.976190476,0.98,0.97979798,40,0,0,0.011139218,0.04278887
PIE,4,3,18,2043,168,42,0.952380952,0.96,0.958333333,60,0,0,0.013107624,0.045816404
PIE,4,4,19,2044,168,42,0.976190476,0.975,0.974603175,45,1,1,0.022307076,0.054409543
PIE,4,5,20,2045,168,42,1,1,1,55,0,0,0.013656393,0.045144946
PIE,5,1,21,2046,168,42,0.904761905,0.91,0.901464646,45,1,1,0.034128053,0.070439043
PIE,5,2,22,2047,168,42,1,1,1,50,0,0,0.012557023,0.128864448
PIE,5,3,23,2048,168,42,1,1,1,45,0,0,0.012021014,0.043526367
PIE,5,4,24,2049,168,42,0.928571429,0.93,0.926464646,55,0,0,0.012958582,0.044732287
PIE,5,5,25,2050,168,42,0.976190476,0.975,0.974603175,40,0,0,0.011220258,0.042143607
handoutlines,1,1,1,2026,1096,274,0.861313869,0.834401154,0.844541328,60,6,6,0.310167798,0.411039005
handoutlines,1,2,2,2027,1096,274,0.868613139,0.833535354,0.849340176,60,14,14,0.633056368,0.751764655
handoutlines,1,3,3,2028,1096,274,0.883211679,0.847157287,0.865265228,55,15,134,1.159148329,1.40982458
handoutlines,1,4,4,2029,1096,274,0.894160584,0.871082251,0.881676718,60,14,14,0.633014061,0.741583806
handoutlines,1,5,5,2030,1096,274,0.868613139,0.837922078,0.851086957,60,19,156,1.175189354,1.469438741
handoutlines,2,1,6,2031,1096,274,0.886861314,0.856594517,0.871402401,55,19,156,1.127349814,1.401880519
handoutlines,2,2,7,2032,1096,274,0.883211679,0.851544012,0.866869116,60,17,146,1.154531497,1.437856772
handoutlines,2,3,8,2033,1096,274,0.886861314,0.847821068,0.868242667,60,9,21,0.625060457,0.740641918
handoutlines,2,4,9,2034,1096,274,0.894160584,0.866695527,0.880379966,60,13,13,0.617591082,0.723980551
handoutlines,2,5,10,2035,1096,274,0.868613139,0.842308802,0.852723364,60,14,14,0.705466327,0.814133919
handoutlines,3,1,11,2036,1096,274,0.894160584,0.864502165,0.87969902,60,7,7,0.631642644,0.730146644
handoutlines,3,2,12,2037,1096,274,0.854014599,0.826493506,0.836359293,55,16,16,0.59544011,0.704531479
handoutlines,3,3,13,2038,1096,274,0.875912409,0.845829726,0.859359903,55,5,5,0.210631249,0.30582192
handoutlines,3,4,14,2039,1096,274,0.850364964,0.817056277,0.829919305,60,18,108,0.937615493,1.170262639
handoutlines,3,5,15,2040,1096,274,0.872262774,0.845165945,0.856426379,60,3,3,0.126484179,0.223050382
handoutlines,4,1,16,2041,1096,274,0.934306569,0.924444444,0.928184519,55,6,6,0.374508622,0.473699539
handoutlines,4,2,17,2042,1096,274,0.883211679,0.855930736,0.868372065,60,7,7,0.623983914,0.721631701
handoutlines,4,3,18,2043,1096,274,0.854014599,0.813333333,0.830529441,60,5,5,0.467558806,0.573386289
handoutlines,4,4,19,2044,1096,274,0.864963504,0.839451659,0.849035813,60,2,2,0.125773996,0.218027788
handoutlines,4,5,20,2045,1096,274,0.883211679,0.851544012,0.866869116,60,16,129,1.165582705,1.427901281
handoutlines,5,1,21,2046,1096,274,0.861313869,0.821240981,0.839002969,60,16,105,1.025974353,1.253321011
handoutlines,5,2,22,2047,1096,274,0.861313869,0.827821068,0.841907076,60,18,119,1.023273891,1.272083503
handoutlines,5,3,23,2048,1096,274,0.883211679,0.86031746,0.8697796,60,18,18,0.719038401,0.835133141
handoutlines,5,4,24,2049,1096,274,0.879562044,0.844300144,0.861478361,60,13,13,0.628390632,0.735513536
handoutlines,5,5,25,2050,1096,274,0.901459854,0.876796537,0.889243207,60,19,142,1.044396085,1.321022557
Giesste,1,1,1,2026,5600,1400,0.937857143,0.937857143,0.937843158,60,1,1,0.432707268,1.342704353
Giesste,1,2,2,2027,5600,1400,0.945,0.945,0.944999972,60,19,58,2.992813001,4.065753439
Giesste,1,3,3,2028,5600,1400,0.941428571,0.941428571,0.941426659,55,2,2,0.716807722,1.609845876
Giesste,1,4,4,2029,5600,1400,0.937142857,0.937142857,0.937142729,55,3,3,1.343273443,2.269460434
Giesste,1,5,5,2030,5600,1400,0.942857143,0.942857143,0.942854227,60,1,1,0.313780349,1.147297604
Giesste,2,1,6,2031,5600,1400,0.940714286,0.940714286,0.940710626,60,1,1,0.336760698,1.229197261
Giesste,2,2,7,2032,5600,1400,0.930714286,0.930714286,0.930711422,60,1,1,0.331409734,1.254241987
Giesste,2,3,8,2033,5600,1400,0.940714286,0.940714286,0.940712804,60,5,5,1.220177452,2.057182032
Giesste,2,4,9,2034,5600,1400,0.942857143,0.942857143,0.942856676,60,6,29,1.204292732,2.207216346
Giesste,2,5,10,2035,5600,1400,0.947857143,0.947857143,0.947856478,60,0,0,0.18141102,1.112503895
Giesste,3,1,11,2036,5600,1400,0.945,0.945,0.944996604,60,1,4,0.974699361,1.800839465
Giesste,3,2,12,2037,5600,1400,0.927857143,0.927857143,0.927852689,55,2,2,1.020041045,1.929100614
Giesste,3,3,13,2038,5600,1400,0.944285714,0.944285714,0.944285601,60,0,0,0.184341749,1.065797311
Giesste,3,4,14,2039,5600,1400,0.944285714,0.944285714,0.944282872,60,1,5,0.473606312,1.294454898
Giesste,3,5,15,2040,5600,1400,0.944285714,0.944285714,0.94426342,60,2,2,0.542676208,1.432557589
Giesste,4,1,16,2041,5600,1400,0.943571429,0.943571429,0.943563107,60,3,3,2.233428285,3.121883169
Giesste,4,2,17,2042,5600,1400,0.937142857,0.937142857,0.937134646,60,5,10,1.440554765,2.304843917
Giesste,4,3,18,2043,5600,1400,0.942142857,0.942142857,0.942137868,50,1,1,0.581257035,1.497312761
Giesste,4,4,19,2044,5600,1400,0.932857143,0.932857143,0.932848372,60,2,2,2.720998862,3.612140913
Giesste,4,5,20,2045,5600,1400,0.945714286,0.945714286,0.945712513,55,0,0,0.168487164,1.02842866
Giesste,5,1,21,2046,5600,1400,0.946428571,0.946428571,0.946420671,50,1,1,0.284338052,1.143408654
Giesste,5,2,22,2047,5600,1400,0.942142857,0.942142857,0.942139285,60,3,3,0.787132273,1.666827006
Giesste,5,3,23,2048,5600,1400,0.935,0.935,0.934999171,60,14,14,2.440527625,3.287751051
Giesste,5,4,24,2049,5600,1400,0.948571429,0.948571429,0.948571429,60,20,115,3.820353654,5.077618771
Giesste,5,5,25,2050,5600,1400,0.94,0.94,0.939979299,60,11,11,2.449145081,3.422442826
Drivace,1,1,1,2026,484,122,0.975409836,0.901703801,0.914237209,60,4,4,0.143266409,0.249007909
Drivace,1,2,2,2027,485,121,0.991735537,0.996941896,0.972822876,60,0,0,0.027278088,0.127149525
Drivace,1,3,3,2028,485,121,0.975206612,0.822222222,0.891811991,55,0,0,0.026799591,0.125978293
Drivace,1,4,4,2029,485,121,0.94214876,0.635037134,0.690391323,60,0,0,0.027274894,0.12608168
Drivace,1,5,5,2030,485,121,0.958677686,0.723809524,0.818283734,55,4,4,0.078453219,0.179464618
Drivace,2,1,6,2031,484,122,0.959016393,0.746031746,0.834950401,55,0,0,0.026429775,0.126109399
Drivace,2,2,7,2032,485,121,0.991735537,0.944444444,0.9681749,45,6,6,0.111042321,0.21238262
Drivace,2,3,8,2033,485,121,0.966942149,0.796969697,0.825495825,60,0,0,0.027823458,0.125858047
Drivace,2,4,9,2034,485,121,0.950413223,0.695238095,0.768849206,50,12,67,0.427095919,0.582393246
Drivace,2,5,10,2035,485,121,0.983471074,0.949322848,0.94099784,60,5,5,0.255357921,0.364277542
Drivace,3,1,11,2036,484,122,0.983606557,0.904761905,0.941414141,60,11,11,0.44299329,0.559227821
Drivace,3,2,12,2037,485,121,0.958677686,0.722222222,0.795556461,60,5,5,0.151228479,0.256444219
Drivace,3,3,13,2038,485,121,0.94214876,0.652525253,0.702592593,45,4,8,0.1585205,0.261820457
Drivace,3,4,14,2039,485,121,0.966942149,0.771428571,0.855105105,60,0,0,0.027648984,0.128743188
Drivace,3,5,15,2040,485,121,1,1,1,60,2,2,0.08044153,0.181371308
Drivace,4,1,16,2041,484,122,1,1,1,60,2,2,0.141466693,0.243340077
Drivace,4,2,17,2042,485,121,0.958677686,0.774719674,0.834882764,50,9,49,0.379240802,0.52165456
Drivace,4,3,18,2043,485,121,0.966942149,0.871717172,0.871717172,60,4,4,0.080967343,0.189916021
Drivace,4,4,19,2044,485,121,0.966942149,0.815989515,0.862987013,50,0,0,0.025681408,0.123935977
Drivace,4,5,20,2045,485,121,0.966942149,0.771428571,0.855105105,60,2,2,0.067099956,0.170345198
Drivace,5,1,21,2046,484,122,0.967213115,0.830275229,0.860606061,55,0,0,0.026658124,0.123729135
Drivace,5,2,22,2047,485,121,0.966942149,0.882772681,0.879598078,60,0,0,0.027272667,0.127218992
Drivace,5,3,23,2048,485,121,0.966942149,0.755555556,0.844047619,60,10,10,0.341844427,0.45310354
Drivace,5,4,24,2049,485,121,0.983471074,0.949322848,0.949322848,60,17,65,0.487086011,0.661830497
Drivace,5,5,25,2050,485,121,0.983471074,0.885714286,0.934291634,60,11,34,0.39629338,0.534110016
Leukemia,1,1,1,2026,57,15,0.933333333,0.95,0.928229665,30,1,1,0.020151457,0.070325601
Leukemia,1,2,2,2027,57,15,1,1,1,35,0,0,0.008505841,0.059454282
Leukemia,1,3,3,2028,58,14,0.928571429,0.9,0.918128655,35,0,0,0.00865106,0.059453899
Leukemia,1,4,4,2029,58,14,0.928571429,0.9,0.918128655,35,0,0,0.008546419,0.058980839
Leukemia,1,5,5,2030,58,14,1,1,1,40,0,0,0.008965421,0.060001359
Leukemia,2,1,6,2031,57,15,0.866666667,0.8,0.829545455,35,0,0,0.008553905,0.05839679
Leukemia,2,2,7,2032,57,15,0.866666667,0.8,0.829545455,25,0,0,0.0076976,0.051683397
Leukemia,2,3,8,2033,58,14,1,1,1,35,2,2,0.024358868,0.075965231
Leukemia,2,4,9,2034,58,14,0.928571429,0.9,0.918128655,35,0,0,0.008667567,0.060522187
Leukemia,2,5,10,2035,58,14,1,1,1,35,0,0,0.008404287,0.05857594
Leukemia,3,1,11,2036,57,15,0.8,0.7,0.720496894,35,0,0,0.008440943,0.0570556
Leukemia,3,2,12,2037,57,15,0.933333333,0.9,0.920634921,35,0,0,0.008502849,0.058259142
Leukemia,3,3,13,2038,58,14,1,1,1,35,0,0,0.008561878,0.059038835
Leukemia,3,4,14,2039,58,14,0.928571429,0.944444444,0.92513369,30,1,1,0.028574071,0.078786611
Leukemia,3,5,15,2040,58,14,0.928571429,0.9,0.918128655,35,0,0,0.008398563,0.071302238
Leukemia,4,1,16,2041,57,15,1,1,1,30,1,1,0.014859891,0.063277098
Leukemia,4,2,17,2042,57,15,0.933333333,0.9,0.920634921,35,0,0,0.008521033,0.058398195
Leukemia,4,3,18,2043,58,14,0.785714286,0.7,0.714285714,35,0,0,0.008417496,0.059171104
Leukemia,4,4,19,2044,58,14,0.928571429,0.9,0.918128655,35,0,0,0.008752896,0.058671589
Leukemia,4,5,20,2045,58,14,0.642857143,0.588888889,0.590643275,30,2,2,0.023436792,0.072240941
Leukemia,5,1,21,2046,57,15,0.933333333,0.9,0.920634921,30,0,0,0.007962449,0.055759091
Leukemia,5,2,22,2047,57,15,0.6,0.65,0.598214286,20,1,1,0.013331643,0.052717217
Leukemia,5,3,23,2048,58,14,0.857142857,0.844444444,0.844444444,30,2,2,0.01493225,0.064247463
Leukemia,5,4,24,2049,58,14,1,1,1,40,0,0,0.009010042,0.060634913
Leukemia,5,5,25,2050,58,14,0.928571429,0.9,0.918128655,40,0,0,0.008968259,0.059906443
CMHS,1,1,1,2026,1764,441,0.943310658,0.925560007,0.935668147,60,16,61,1.176243289,3.427367925
CMHS,1,2,2,2027,1764,441,0.936507937,0.919981731,0.928075489,45,14,45,0.948318648,3.101035821
CMHS,1,3,3,2028,1764,441,0.954648526,0.943297557,0.948979592,60,20,115,1.35939793,3.707038842
CMHS,1,4,4,2029,1764,441,0.936507937,0.91363325,0.927021277,30,12,12,0.579291868,2.607027469
CMHS,1,5,5,2030,1764,441,0.945578231,0.933226764,0.93877551,60,5,5,0.358481367,2.473573485
CMHS,2,1,6,2031,1764,441,0.943310658,0.927119377,0.935894081,55,18,103,1.298526146,3.61850615
CMHS,2,2,7,2032,1764,441,0.93877551,0.92805435,0.931468531,45,4,4,0.722980289,2.925047741
CMHS,2,3,8,2033,1764,441,0.925170068,0.90659968,0.915081954,60,0,0,0.057735017,2.162341234
CMHS,2,4,9,2034,1764,441,0.950113379,0.943023521,0.94443299,60,19,128,1.493359099,3.841713485
CMHS,2,5,10,2035,1764,441,0.927437642,0.9146723,0.918642192,60,16,16,0.868079449,2.671805697
CMHS,3,1,11,2036,1764,441,0.943310658,0.925560007,0.935668147,60,19,156,1.689187405,4.042834695
CMHS,3,2,12,2037,1764,441,0.93877551,0.92646723,0.931238992,60,19,156,1.689944889,4.071607139
CMHS,3,3,13,2038,1764,441,0.965986395,0.959853848,0.962051894,60,17,102,1.355014085,3.637397867
CMHS,3,4,14,2039,1764,441,0.922902494,0.909636903,0.913557329,60,11,11,0.838960548,3.010130697
CMHS,3,5,15,2040,1764,441,0.952380952,0.944747659,0.946872652,55,18,69,1.129403099,3.375054331
CMHS,4,1,16,2041,1764,441,0.925170068,0.903922327,0.914777618,60,19,126,1.47407086,3.787184455
CMHS,4,2,17,2042,1764,441,0.968253968,0.959990865,0.964405959,60,20,133,1.484243901,3.813004319
CMHS,4,3,18,2043,1764,441,0.922902494,0.901701302,0.912035951,55,20,61,1.009022724,3.317740977
CMHS,4,4,19,2044,1764,441,0.918367347,0.898253026,0.90719697,60,7,7,0.86940237,3.008420186
CMHS,4,5,20,2045,1764,441,0.943310658,0.928328385,0.935894081,60,0,0,0.05704645,2.17287915
CMHS,5,1,21,2046,1764,441,0.934240363,0.913961482,0.925107604,60,3,3,0.135398462,2.316226907
CMHS,5,2,22,2047,1764,441,0.916099773,0.899703129,0.9054509,45,0,0,0.049287098,2.033177177
CMHS,5,3,23,2048,1764,441,0.93877551,0.918531628,0.930018514,55,19,73,1.106059502,3.057118757
CMHS,5,4,24,2049,1764,441,0.936507937,0.919981731,0.928075489,55,2,2,0.132158465,2.27954066
CMHS,5,5,25,2050,1764,441,0.93877551,0.931228591,0.931913701,60,3,3,0.280691009,2.391560308
GSAFM,1,1,1,2026,46,12,0.75,0.770833333,0.755952381,35,1,1,0.015512377,0.184248664
GSAFM,1,2,2,2027,46,12,0.833333333,0.854166667,0.851785714,35,1,5,0.030908908,0.186840962
GSAFM,1,3,3,2028,46,12,0.583333333,0.625,0.627777778,30,0,0,0.008215103,0.157082126
GSAFM,1,4,4,2029,47,11,0.727272727,0.8125,0.751785714,35,0,0,0.008610625,0.182948126
GSAFM,1,5,5,2030,47,11,1,1,1,40,0,0,0.008970665,0.190101998
GSAFM,2,1,6,2031,46,12,0.75,0.770833333,0.755952381,40,0,0,0.009125006,0.158378007
GSAFM,2,2,7,2032,46,12,0.75,0.8125,0.751785714,35,0,0,0.008455892,0.169631742
GSAFM,2,3,8,2033,46,12,0.666666667,0.6875,0.604166667,40,1,1,0.016250283,0.194442593
GSAFM,2,4,9,2034,47,11,0.636363636,0.729166667,0.6875,35,1,1,0.015518614,0.175864658
GSAFM,2,5,10,2035,47,11,0.818181818,0.833333333,0.825,35,0,0,0.008507738,0.172727509
GSAFM,3,1,11,2036,46,12,0.75,0.770833333,0.783333333,35,0,0,0.008471139,0.179234841
GSAFM,3,2,12,2037,46,12,0.75,0.770833333,0.770833333,40,0,0,0.008914633,0.182029806
GSAFM,3,3,13,2038,46,12,0.583333333,0.625,0.644444444,30,0,0,0.007992975,0.154013
GSAFM,3,4,14,2039,47,11,0.727272727,0.791666667,0.785714286,45,0,0,0.009443746,0.176139988
GSAFM,3,5,15,2040,47,11,0.818181818,0.854166667,0.851785714,35,1,1,0.015373123,0.177126097
GSAFM,4,1,16,2041,46,12,0.833333333,0.875,0.854166667,35,0,0,0.008650703,0.168582873
GSAFM,4,2,17,2042,46,12,0.75,0.791666667,0.780357143,40,0,0,0.008851934,0.201075915
GSAFM,4,3,18,2043,46,12,0.833333333,0.854166667,0.854166667,35,0,0,0.008406954,0.169742077
GSAFM,4,4,19,2044,47,11,0.727272727,0.791666667,0.780357143,35,1,1,0.01537532,0.185083978
GSAFM,4,5,20,2045,47,11,0.636363636,0.666666667,0.598484848,35,0,0,0.008637237,0.170333789
GSAFM,5,1,21,2046,46,12,0.833333333,0.833333333,0.811507937,35,0,0,0.008648694,0.179947853
GSAFM,5,2,22,2047,46,12,0.666666667,0.729166667,0.69047619,35,0,0,0.008571102,0.177602405
GSAFM,5,3,23,2048,46,12,0.583333333,0.625,0.628968254,30,0,0,0.008236913,0.154515154
GSAFM,5,4,24,2049,47,11,0.727272727,0.770833333,0.783333333,40,1,1,0.016089114,0.179552427
GSAFM,5,5,25,2050,47,11,0.909090909,0.9375,0.928571429,40,0,0,0.009032404,0.173217078
